#1								
#Germany_Potsdam_2019_DWD_3987_DWD								
#13.06	52.38	81	1					
#								
#hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
double tab1(8760,9)								
1	1013.7	7.8	92	0	0	8	6.3	260
2	1012.8	7.9	90	0	0	8	7.1	260
3	1012.4	7.7	90	0	0	8	6.5	260
4	1011	7.4	90	0	0	8	6.8	260
5	1009.7	7.3	88	0	0	8	7.8	260
6	1008.5	7.1	89	0	0	8	8.2	260
7	1007.5	7.1	85	0	0	8	8.3	260
8	1006.7	6.8	87	0	0	8	8.6	260
9	1005.8	6.6	92	2.78	2.78	8	8.4	250
10	1005.4	6.6	95	16.67	13.89	8	8.9	260
11	1004.7	6.6	96	25	22.22	8	9.1	260
12	1003.9	7.4	92	77.78	75	7	9.1	270
13	1003.3	7.7	70	205.56	77.78	2	10.2	280
14	1002.7	7.5	66	141.67	91.67	2	10.4	290
15	1001.6	7.4	71	77.78	63.89	7	10.2	270
16	1001.7	5.7	82	11.11	8.33	7	10.8	280
17	1001.7	5.3	80	0	0	7	11.3	280
18	1001.4	3.7	88	0	0	5	10.8	280
19	1001.4	3.9	79	0	0	3	10.2	280
20	1001.5	4.1	74	0	0	7	10.6	280
21	1001.8	4.4	69	0	0	7	10.2	280
22	1001.9	4.2	66	0	0	7	10.7	290
23	1002.3	3.7	67	0	0	8	10.5	290
24	1003	3.5	69	0	0	8	10.9	290
25	1003.3	2.9	76	0	0	6	10	290
26	1003.6	2.5	76	0	0	2	9.8	290
27	1004	2.6	75	0	0	2	9.3	290
28	1004.5	2.7	74	0	0	3	9.8	290
29	1005.8	1.1	87	0	0	8	9.5	300
30	1005.9	2.5	69	0	0	6	8.5	300
31	1006.8	1.3	82	0	0	6	8.7	300
32	1007.6	1.9	74	0	0	7	8.2	300
33	1008.9	2.2	69	5.56	5.56	7	7.2	300
34	1010	2.5	65	33.33	33.33	8	5.9	330
35	1011.2	2.8	62	77.78	72.22	6	7	340
36	1012	2.6	64	50	50	7	5.4	350
37	1013	2.8	47	166.67	77.78	4	7.3	340
38	1013.5	3.4	49	141.67	83.33	5	7.2	350
39	1014.2	2.6	50	77.78	50	5	7.3	330
40	1014.9	1.9	61	8.33	8.33	6	5.7	330
41	1015.7	1.9	52	0	0	7	5.8	340
42	1016.7	1.6	44	0	0	5	7.7	350
43	1017.6	0.6	51	0	0	1	5.6	350
44	1018	-0.4	59	0	0	1	4.2	320
45	1018.6	-1.2	64	0	0	0	4.1	300
46	1018.7	-2.1	70	0	0	1	3.8	300
47	1018.7	-2.1	72	0	0	0	4.2	290
48	1018.9	-2.2	74	0	0	0	4.3	290
49	1019.2	-2.3	78	0	0	0	4.4	290
50	1019.5	-2	81	0	0	0	5.1	290
51	1019.8	-2.4	85	0	0	0	5	300
52	1019.7	-2.1	85	0	0	3	5	300
53	1019.5	-2.2	88	0	0	4	5.3	300
54	1019	-1.7	85	0	0	7	5.9	290
55	1019.2	-1.6	84	0	0	7	6.2	290
56	1019.3	-2	85	0	0	6	6	290
57	1019.9	-1.8	83	13.89	13.89	6	6.4	290
58	1020	-0.7	77	63.89	55.56	6	6.1	290
59	1020.3	0.2	74	77.78	75	7	5	300
60	1020.1	1	70	66.67	63.89	7	5	310
61	1020	1	76	52.78	52.78	8	5	330
62	1020	0.9	78	50	47.22	7	4.1	330
63	1020.4	0.8	80	30.56	30.56	7	3.5	300
64	1020.6	0.6	79	16.67	13.89	6	3.6	300
65	1020.9	-0.2	82	0	0	4	3.6	300
66	1021.4	-0.3	84	0	0	7	3.2	300
67	1021.2	-0.6	86	0	0	5	2.9	300
68	1021.6	-1.3	89	0	0	2	2.6	310
69	1022.2	-1.7	91	0	0	1	2.6	310
70	1022.1	-2.2	94	0	0	3	2.7	330
